L_Gene	L_ident	L_MeanUMI	R_Gene	R_ident	R_MeanUMI	Str
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_1_Cd81	epi_R_1	1.79713809657658	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_2_Cd81	epi_R_2	1.662991167476	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_3_Cd81	epi_R_3	1.7148558255814	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_4_Cd81	epi_R_4	2.35443514734177	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_5_Cd81	epi_R_5	1.85660513693694	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_6_Cd81	epi_R_6	0.660395801992032	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_1_Cr1l	epi_R_1	0.38604859027027	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_2_Cr1l	epi_R_2	0.457437060474308	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_3_Cr1l	epi_R_3	0.465593331976744	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_4_Cr1l	epi_R_4	0.309305956455696	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_5_Cr1l	epi_R_5	0.534650707207207	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_6_Cr1l	epi_R_6	0.663310162948207	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_1_Ifitm2	epi_R_1	1.58113305135135	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_2_Ifitm2	epi_R_2	1.85637024217956	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_3_Ifitm2	epi_R_3	1.17519974825581	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_4_Ifitm2	epi_R_4	2.55223377417721	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_5_Ifitm2	epi_R_5	2.13985406936937	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_6_Ifitm2	epi_R_6	1.78559251832669	0.0143320503466335
pp_L_1_C3	pp_L_1	0.491760889400922	epi_R_3_Lrp1	epi_R_3	0.33958164244186	0.0143320503466335
pp_L_0_Calr	pp_L_0	1.87597074760349	epi_R_3_Itga3	epi_R_3	0.221453471511628	0.208570305881973
pp_L_1_Calr	pp_L_1	1.51376381912442	epi_R_3_Itga3	epi_R_3	0.221453471511628	0.135805261342814
pp_L_2_Calr	pp_L_2	1.17286950060753	epi_R_3_Itga3	epi_R_3	0.221453471511628	0.0815266768075462
pp_L_3_Calr	pp_L_3	1.25167857333333	epi_R_3_Itga3	epi_R_3	0.221453471511628	0.0928508726436976
pp_L_4_Calr	pp_L_4	1.74563549666667	epi_R_3_Itga3	epi_R_3	0.221453471511628	0.180595732209739
pp_L_0_Calr	pp_L_0	1.87597074760349	epi_R_3_Lrp1	epi_R_3	0.33958164244186	0.208570305881973
pp_L_1_Calr	pp_L_1	1.51376381912442	epi_R_3_Lrp1	epi_R_3	0.33958164244186	0.135805261342814
pp_L_2_Calr	pp_L_2	1.17286950060753	epi_R_3_Lrp1	epi_R_3	0.33958164244186	0.0815266768075462
pp_L_3_Calr	pp_L_3	1.25167857333333	epi_R_3_Lrp1	epi_R_3	0.33958164244186	0.0928508726436976
pp_L_4_Calr	pp_L_4	1.74563549666667	epi_R_3_Lrp1	epi_R_3	0.33958164244186	0.180595732209739
pp_L_3_Ccl5	pp_L_3	0.395223413333333	epi_R_6_Ackr4	epi_R_6	0.322314443426295	0.00925732867183472
pp_L_3_Ccl5	pp_L_3	0.395223413333333	epi_R_1_Sdc1	epi_R_1	0.367818677117117	0.00925732867183472
pp_L_3_Ccl5	pp_L_3	0.395223413333333	epi_R_2_Sdc1	epi_R_2	0.333970137888199	0.00925732867183472
pp_L_3_Ccl5	pp_L_3	0.395223413333333	epi_R_3_Sdc1	epi_R_3	0.318811336627907	0.00925732867183472
pp_L_3_Ccl5	pp_L_3	0.395223413333333	epi_R_4_Sdc1	epi_R_4	0.354485872151899	0.00925732867183472
pp_L_3_Ccl5	pp_L_3	0.395223413333333	epi_R_5_Sdc1	epi_R_5	0.401197800900901	0.00925732867183472
pp_L_3_Ccl5	pp_L_3	0.395223413333333	epi_R_6_Sdc1	epi_R_6	0.138342341434263	0.00925732867183472
pp_L_3_Ccl5	pp_L_3	0.395223413333333	epi_R_1_Sdc4	epi_R_1	0.41058181963964	0.00925732867183472
pp_L_3_Ccl5	pp_L_3	0.395223413333333	epi_R_2_Sdc4	epi_R_2	0.557986082891022	0.00925732867183472
pp_L_3_Ccl5	pp_L_3	0.395223413333333	epi_R_3_Sdc4	epi_R_3	0.426710991860465	0.00925732867183472
pp_L_3_Ccl5	pp_L_3	0.395223413333333	epi_R_4_Sdc4	epi_R_4	0.844711557468354	0.00925732867183472
pp_L_3_Ccl5	pp_L_3	0.395223413333333	epi_R_5_Sdc4	epi_R_5	0.69589194954955	0.00925732867183472
pp_L_3_Ccl5	pp_L_3	0.395223413333333	epi_R_6_Sdc4	epi_R_6	0.57343451314741	0.00925732867183472
pp_L_1_Cd14	pp_L_1	0.985539200230415	epi_R_1_Itgb1	epi_R_1	0.460174289189189	0.05756362832189
pp_L_1_Cd14	pp_L_1	0.985539200230415	epi_R_2_Itgb1	epi_R_2	0.348542099830604	0.05756362832189
pp_L_1_Cd14	pp_L_1	0.985539200230415	epi_R_3_Itgb1	epi_R_3	0.335660746511628	0.05756362832189
pp_L_1_Cd14	pp_L_1	0.985539200230415	epi_R_4_Itgb1	epi_R_4	0.306343605316456	0.05756362832189
pp_L_1_Cd14	pp_L_1	0.985539200230415	epi_R_5_Itgb1	epi_R_5	0.329742664864865	0.05756362832189
pp_L_1_Cd14	pp_L_1	0.985539200230415	epi_R_6_Itgb1	epi_R_6	0.407784487250996	0.05756362832189
pp_L_2_Chad	pp_L_2	0.476349578857837	epi_R_1_Itgb1	epi_R_1	0.460174289189189	0.013447821168384
pp_L_2_Chad	pp_L_2	0.476349578857837	epi_R_2_Itgb1	epi_R_2	0.348542099830604	0.013447821168384
